x	y	label	showSelected1	group
72	1.20586126813229	54/72 models selected by linear penalty	322.15	6
37	2.52556998936456	29/37 models selected by linear penalty	357.X	8
59	0.347242650169887	45/59 models selected by linear penalty	14.19	2
47	7.06312606162748	35/47 models selected by linear penalty	261.21	4
140	1.21511405949614	106/140 models selected by linear penalty	328.7	7
234	1.86426144301044	178/234 models selected by linear penalty	85.11	10
504	15.7900282484092	371/504 models selected by linear penalty	132.1	1
138	1.00674312963131	102/138 models selected by linear penalty	556.20	9
306	1.31387055705505	237/306 models selected by linear penalty	16.5	3
43	0.563975305048356	34/43 models selected by linear penalty	271.19	5
