xintercept	showSelected2
34.478996	1
31.7791885	2
32.6074345	2
31.7791885	3
32.6074345	3
34.478996	3
31.7791885	4
32.6074345	4
40.188689	4
40.5834915	4
31.7791885	5
32.6074345	5
34.478996	5
40.188689	5
40.5834915	5
31.7791885	6
32.6074345	6
34.478996	6
40.188689	6
40.5834915	6
95.3109385	6
31.7791885	7
32.6074345	7
34.478996	7
40.188689	7
40.5834915	7
77.355311	7
78.808361	7
31.7791885	8
32.6074345	8
34.478996	8
40.188689	8
40.5834915	8
77.355311	8
78.808361	8
95.3109385	8
31.7791885	9
32.6074345	9
33.5180105	9
34.478996	9
40.188689	9
40.5834915	9
77.355311	9
78.808361	9
95.3109385	9
31.7791885	10
32.6074345	10
34.478996	10
40.188689	10
40.5834915	10
77.355311	10
78.808361	10
90.014321	10
91.134866	10
95.3109385	10
31.7791885	11
32.6074345	11
34.478996	11
40.188689	11
40.5834915	11
49.255324	11
66.518451	11
66.7553	11
77.355311	11
78.808361	11
95.3109385	11
31.7791885	12
32.6074345	12
34.478996	12
40.188689	12
40.5834915	12
47.0335785	12
49.255324	12
66.518451	12
66.7553	12
77.355311	12
78.808361	12
95.3109385	12
31.7791885	13
32.6074345	13
34.478996	13
40.188689	13
40.5834915	13
47.0335785	13
49.255324	13
66.518451	13
66.7553	13
70.376454	13
77.355311	13
78.808361	13
95.3109385	13
31.7791885	14
32.6074345	14
34.478996	14
40.188689	14
40.5834915	14
47.0335785	14
49.255324	14
66.518451	14
66.7553	14
77.355311	14
78.808361	14
90.014321	14
91.134866	14
95.3109385	14
31.7791885	15
32.6074345	15
34.478996	15
40.188689	15
40.5834915	15
47.0335785	15
49.255324	15
66.518451	15
66.7553	15
70.376454	15
77.355311	15
78.808361	15
90.014321	15
91.134866	15
95.3109385	15
31.7791885	16
32.6074345	16
34.478996	16
40.188689	16
40.5834915	16
47.0335785	16
49.255324	16
66.518451	16
66.7553	16
70.376454	16
75.474424	16
77.355311	16
78.808361	16
90.014321	16
91.134866	16
95.3109385	16
31.7791885	17
32.6074345	17
33.5180105	17
34.478996	17
40.188689	17
40.5834915	17
47.0335785	17
49.255324	17
66.518451	17
66.7553	17
70.376454	17
75.474424	17
77.355311	17
78.808361	17
90.014321	17
91.134866	17
95.3109385	17
31.7791885	18
32.6074345	18
33.5180105	18
34.478996	18
40.188689	18
40.5834915	18
47.0335785	18
49.255324	18
66.518451	18
66.7553	18
70.376454	18
75.474424	18
77.355311	18
78.808361	18
88.4705645	18
90.014321	18
91.134866	18
95.3109385	18
31.7791885	19
32.6074345	19
33.5180105	19
34.478996	19
40.188689	19
40.5834915	19
47.0335785	19
48.5950815	19
49.255324	19
66.518451	19
66.7553	19
70.376454	19
75.474424	19
77.355311	19
78.808361	19
88.4705645	19
90.014321	19
91.134866	19
95.3109385	19
23.614224	20
31.7791885	20
32.6074345	20
33.5180105	20
34.478996	20
40.188689	20
40.5834915	20
47.0335785	20
48.5950815	20
49.255324	20
66.518451	20
66.7553	20
70.376454	20
75.474424	20
77.355311	20
78.808361	20
88.4705645	20
90.014321	20
91.134866	20
95.3109385	20
23.614224	21
31.11274	21
31.7791885	21
32.6074345	21
33.5180105	21
34.478996	21
40.188689	21
40.5834915	21
47.0335785	21
48.5950815	21
49.255324	21
66.518451	21
66.7553	21
70.376454	21
75.474424	21
77.355311	21
78.808361	21
88.4705645	21
90.014321	21
91.134866	21
95.3109385	21
23.614224	22
31.11274	22
31.7791885	22
32.6074345	22
33.5180105	22
34.478996	22
37.8441845	22
40.188689	22
40.5834915	22
47.0335785	22
48.5950815	22
49.255324	22
66.518451	22
66.7553	22
70.376454	22
75.474424	22
77.355311	22
78.808361	22
88.4705645	22
90.014321	22
91.134866	22
95.3109385	22
23.614224	23
25.4296315	23
31.11274	23
31.7791885	23
32.6074345	23
33.5180105	23
34.478996	23
37.8441845	23
40.188689	23
40.5834915	23
47.0335785	23
48.5950815	23
49.255324	23
66.518451	23
66.7553	23
70.376454	23
75.474424	23
77.355311	23
78.808361	23
88.4705645	23
90.014321	23
91.134866	23
95.3109385	23
23.614224	24
31.11274	24
31.7791885	24
32.6074345	24
33.5180105	24
34.478996	24
37.8441845	24
40.188689	24
40.5834915	24
47.0335785	24
48.5950815	24
49.255324	24
66.518451	24
66.7553	24
70.376454	24
75.474424	24
77.355311	24
78.808361	24
88.4705645	24
90.014321	24
91.134866	24
91.3432655	24
91.5738145	24
95.3109385	24
23.614224	25
31.11274	25
31.7791885	25
32.6074345	25
33.5180105	25
34.478996	25
37.8441845	25
40.188689	25
40.5834915	25
47.0335785	25
48.5950815	25
49.255324	25
66.518451	25
66.7553	25
70.376454	25
75.474424	25
77.355311	25
78.808361	25
88.4705645	25
90.014321	25
91.134866	25
91.3432655	25
91.5738145	25
92.3246865	25
95.3109385	25
23.614224	26
25.4296315	26
31.11274	26
31.7791885	26
32.6074345	26
33.5180105	26
34.478996	26
37.8441845	26
40.188689	26
40.5834915	26
47.0335785	26
48.5950815	26
49.255324	26
66.518451	26
66.7553	26
70.376454	26
75.474424	26
77.355311	26
78.808361	26
88.4705645	26
90.014321	26
91.134866	26
91.3432655	26
91.5738145	26
